gene_name	omim_inheritance	omim_phenotype
1-8D		
1-8U		{influenza, severe, susceptibility to}, 614680 (3)
1-Cys		
10-fTHF		
101F6		
103AS		
10C		
11B6	XLR,XL	bartter syndrome, type 5, antenatal, transient, 300971 (3),
12-HETER		
123F2		
12CC4	AD	mental retardation with language impairment and with or without autistic features, 613670 (3),
12R-LOX	AR	ichthyosis, congenital, 2, 242100 (3),
12S-LOX		
13CDNA73		
14-3-3		
14-3-3-zeta		
14-3-3GAMMA	AD	developmental and epileptic encephalopathy 56, 617665 (3),
14-3-3γ	AD	developmental and epileptic encephalopathy 56, 617665 (3),
14.1	AR	agammaglobulinemia 2, 613500 (3),
14q(0)		
14q(I-1)		
14q(II-1)		
15-LOX-1		
15-LOX-2		
15.212		
15.5K		
156DAG	AR	muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 9, 613818 (3), ; muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 9, 616538 (3),
15E1.2	AR	combined oxidative phosphorylation deficiency 42, 618839 (3),
16.3A5	AR	hemolytic anemia, cd59-mediated, with or without immune-mediated polyneuropathy, 612300 (3),
16A	XLR,XL	immunodeficiency 47, 300972 (3),
16E1BP	AR	mosaic variegated aneuploidy syndrome 3, 617598 (3), ; oocyte maturation defect 9, 619011 (3),
17-BETA-HSD11		
17-BETA-HSDXI		
1700010H15RiK	AR	ciliary dyskinesia, primary, 16, 614017 (3),
170A	AR	trichohepatoenteric syndrome 2, 614602 (3),
17b-HSD10	XLD,XL	hsd10 mitochondrial disease, 300438 (3),
182-FIP		
183ActI		
18A2		
19A		
1A1-3B		
1A6/DRIM		
1C7		{malaria, mild, susceptibility to}, 609148 (3)
1D		
1R20		
2-19		
2-21		
2-COP		
2-HPCL		
2'-PDE		
209L8		
20D7-FC4		
21-GARP		
2310005P21Rik		
2310047H23Rik		
239AB		
239FB		
24p3		
2610509L04Rik		
26RFa		
2700066J21Rik		
2A9		
2B28		
2B4		{rheumatoid arthritis, susceptibility to}, 180300 (3)
2C18		
2C4D		
2E4	AR	mental retardation, 41, 615637 (3),
2F1		
2H9		
2HOR0202		
2OST		
2P1	AR	mitochondrial complex i deficiency, nuclear type 18, 618240 (3),
2PP2A	AD	mental retardation, 58, 618106 (3),
3-10C		
3-alpha-HSD	AR	{46xy sex reversal 8, modifier of}, 614279 (3),
3-OST-5		
3-PAP		
3'aHIF-1A		
30K		
30ST3A1		
30ST3B1		
323/A3	AR	colorectal cancer, hereditary nonpolyposis, type 8, 613244 (3); diarrhea 5, with tufting enteropathy, congenital, 613217 (3),
3635		
37LRP	AD	asplenia, isolated congenital, 271400 (3),
384D8-2		
39K2		
3alpha-HSD		
3D3		
3G2		
3H11Ag	AR	?bardet-biedl syndrome 14, 615991 (3), ; leber congenital amaurosis 10, 611755 (3); senior-loken syndrome 6, 610189 (3), ; meckel syndrome 4, 611134 (3), ; joubert syndrome 5, 610188 (3),
3M3	AR	3-m syndrome 3, 614205 (3),
3OST1		
3OST2		
3OST3A1		
3OST3B1		
3OST4		
3PAP		
3pK	AD	?macular dystrophy, patterned, 3, 617111 (3),
3PK	AD	?macular dystrophy, patterned, 3, 617111 (3),
4-1BB		
4-1BB-L		
4-1BBL		
4-HPPD	AR,AD	tyrosinemia, type iii, 276710 (3), ; hawkinsinuria, 140350 (3),
4-HPPD-L	AR	spastic paraplegia 83, 619027 (3), ; neurodevelopmental disorder with progressive spasticity and brain white matter abnormalities, 619026 (3),
4.1-G		
4.1B		
4.1G		
4.1N	AD	?mental retardation, 11, 614257 (3),
4.1R	AR,AD	elliptocytosis-1, 611804 (3),
42A		
42C		
47.11		
4832404P21Rik		
4833431A01Rik	AD	dystonia 6, torsion, 602629 (3),
4E-BP1		
4E-BP3		
4E-T		
4EHP		
4F2		
4F2HC		
4F5		
4F5REL		
4HPPD	AR,AD	tyrosinemia, type iii, 276710 (3), ; hawkinsinuria, 140350 (3),
4P11		
4T2HC		
5-HT(2B)		
5-HT1A	AD	periodic fever, menstrual cycle dependent, 614674 (3),
5-HT1B		
5-HT1D		
5-HT1DB		
5-HT1E		
5-HT1F		
5-HT2A	MF,AD	{major depressive disorder, response to citalopram therapy in}, 608516 (3); {alcohol dependence, susceptibility to}, 103780 (3), ; {schizophrenia, susceptibility to}, 181500 (3), ; {anorexia nervosa, susceptibility to}, 606788 (3); {obsessive-compulsive disorder, susceptibility to}, 164230 (3), ; {seasonal affective disorder, susceptibility to}, 608516 (3)
5-HT2B		
5-HT2C		
5-HT3A		
5-HT3B		
5-HT3R		
5-HT4		
5-HT5A		
5-HT6		
5-HT6R		
5-HT7		
5-HTT	AD	{anxiety-related personality traits}, 607834 (3); {obsessive-compulsive disorder}, 164230 (3),
5-LOX	AD	{atherosclerosis, susceptibility to} (3); {asthma, diminished response to antileukotriene treatment in}, 600807 (3),
