"Ensembl_gene_id","Omim_inheritance"
"ENSG00000138138","AR"
"ENSG00000179774","AR"
"ENSG00000067955","AD"
"ENSG00000101938","AR;XL;XL-R"
"ENSG00000176340","AR;Heterogeneous;MT"
"ENSG00000157613","AR"
"ENSG00000198223","XL"
"ENSG00000101152","AD"
"ENSG00000134762","AR"
"ENSG00000109458","AR"
"ENSG00000115339","AR"
"ENSG00000138411","AD"
"ENSG00000164066","AR"
"ENSG00000133116","AR"
"ENSG00000145012","AD"
"ENSG00000178053","AD"
"ENSG00000078403","AD"
"ENSG00000125459","AD;AR"
"ENSG00000099810","AD"
"ENSG00000181163","AD"
"ENSG00000147548","AD"
"ENSG00000067992","XL-D"
"ENSG00000079739","AR"
"ENSG00000073921","AD"
"ENSG00000102128","XL-R"
"ENSG00000177570","AD;Heterogeneous"
"ENSG00000141985","AD"
"ENSG00000106688","AR"
"ENSG00000162426","AR"
"ENSG00000091482","XL-D"
"ENSG00000160183","AR"
"ENSG00000251192","XL;XL-R"
"ENSG00000175899","AD"
"ENSG00000128274","AD"
"ENSG00000094914","AR"
"ENSG00000103591","AD;Heterogeneous"
"ENSG00000090861","AD;AR"
"ENSG00000124608","AR"
"ENSG00000008311","AR"
"ENSG00000183044","AR"
"ENSG00000165029","AD;AR"
"ENSG00000144452","AR"
"ENSG00000167972","AR;Heterogeneous"
"ENSG00000198691","AR"
"ENSG00000073734","AR"
"ENSG00000005471","AD;AR;Heterogeneous"
"ENSG00000115657","AD"
"ENSG00000131269","XL-R"
"ENSG00000023839","AR"
"ENSG00000091262","AD;AR"
"ENSG00000006071","AD;AR;Heterogeneous"
"ENSG00000069431","AD"
"ENSG00000101986","XL;XL-R"
"ENSG00000117528","AR"
"ENSG00000119688","AR"
"ENSG00000138075","AR"
"ENSG00000143921","AR"
"ENSG00000100997","AR"
"ENSG00000011198","AR"
"ENSG00000132142","AR"
"ENSG00000151498","AR"
"ENSG00000177646","AR"
"ENSG00000117054","AR"
"ENSG00000122971","AR"
"ENSG00000196177","AR"
"ENSG00000072778","AR"
"ENSG00000157766","AD;AR"
"ENSG00000075239","AR"
"ENSG00000120437","Sporadic"
"ENSG00000102977","AD;AR"
"ENSG00000159640","AR"
"ENSG00000100412","AR"
"ENSG00000161533","AR"
"ENSG00000168306","AR"
"ENSG00000134575","AR"
"ENSG00000142513","AR"
"ENSG00000102575","AR"
"ENSG00000176715","AR"
"ENSG00000068366","XL-D"
"ENSG00000143632","AD;AR;Heterogeneous"
"ENSG00000107796","AD"
"ENSG00000075624","AD;AR"
"ENSG00000159251","AD"
"ENSG00000184009","AD"
"ENSG00000072110","AD"
"ENSG00000077522","AD"
"ENSG00000130402","AD"
"ENSG00000115170","AD"
"ENSG00000114739","AD"
"ENSG00000139567","AD;Heterogeneous"
"ENSG00000243989","AR"
"ENSG00000196839","AR;Somatic mosaicism"
"ENSG00000093072","AD;AR;Sporadic"
"ENSG00000137845","AD"
"ENSG00000151694","AR"
"ENSG00000168615","AR"
"ENSG00000142303","AR"
"ENSG00000160323","AR;Heterogeneous"
"ENSG00000140470","AR"
"ENSG00000140873","AR"
"ENSG00000087116","AR"
"ENSG00000197859","AR"
"ENSG00000143382","AR"
"ENSG00000160710","AD;AR"
"ENSG00000213638","AR"
"ENSG00000164742","AR"
"ENSG00000173175","AD"
"ENSG00000174233","AR"
"ENSG00000148700","AR"
"ENSG00000127507","AD"
"ENSG00000205336","AR"
"ENSG00000173698","XL"
"ENSG00000112414","AR"
"ENSG00000164199","AD;AR;Heterogeneous"
"ENSG00000156110","AR"
"ENSG00000101126","AD"
"ENSG00000222040","AD"
"ENSG00000239900","AR"
"ENSG00000185100","AR"
"ENSG00000155966","XL;XL-R"
"ENSG00000072364","AD"
"ENSG00000141385","AD;AR"
"ENSG00000081051","AR"
"ENSG00000038002","AR"
"ENSG00000166748","AD"
"ENSG00000084693","AR"
"ENSG00000006530","AR"
"ENSG00000162688","AR"
"ENSG00000169692","AR;Heterogeneous"
"ENSG00000018510","AR"
"ENSG00000188157","AR"
"ENSG00000135744","AR"
"ENSG00000144891","AR"
"ENSG00000172482","AR"
"ENSG00000101444","AR"
"ENSG00000126705","AD"
"ENSG00000135541","AR;Heterogeneous"
"ENSG00000145192","AR"
"ENSG00000111732","AR"
"ENSG00000156709","XL-R"
"ENSG00000164022","AR"
"ENSG00000110711","AD;Somatic mutation"
"ENSG00000129221","AR"
"ENSG00000160224","AD;AR"
"ENSG00000106992","AR"
"ENSG00000004455","AR"
"ENSG00000127914","AD"
"ENSG00000151632","AR"
"ENSG00000122787","AR"
"ENSG00000142208","AD;Heterogeneous;Somatic mutation;Sporadic"
"ENSG00000105221","AD;AR"
"ENSG00000117020","AD"
"ENSG00000148218","AR"
"ENSG00000158578","XL-D;XL-R"
"ENSG00000163631","AR"
"ENSG00000059573","AD;AR;Genetic anticipation;Sporadic"
"ENSG00000184254","AR"
"ENSG00000111275","AD"
"ENSG00000072210","AR"
"ENSG00000159423","AR"
"ENSG00000112294","AR"
"ENSG00000119711","AR"
"ENSG00000164904","AR"
"ENSG00000149925","AR"
"ENSG00000136872","AR"
"ENSG00000033011","AR"
"ENSG00000253710","AR"
"ENSG00000101901","XL-D;XL-R"
"ENSG00000172339","AR"
"ENSG00000119523","AR"
"ENSG00000214160","AR"
"ENSG00000088035","AR"
"ENSG00000086848","AR"
"ENSG00000116127","AR"
"ENSG00000179477","AR"
"ENSG00000179148","AR"
