Ensembl_gene_id,Pseudoautosomal,PAR_Gene_name
ENSG00000182378,Yes,PLCXD1
ENSG00000178605,Yes,GTPBP6
ENSG00000167393,Yes,PPP2R3B
ENSG00000185960,Yes,SHOX
ENSG00000205755,Yes,CRLF2
ENSG00000198223,Yes,CSF2RA
ENSG00000185291,Yes,IL3RA
ENSG00000169100,Yes,SLC25A6
ENSG00000236017,Yes,CXYorf2
ENSG00000169093,Yes,ASMTL
ENSG00000182162,Yes,P2RY8
ENSG00000197976,Yes,CXYorf3
ENSG00000169084,Yes,DHRSX
ENSG00000214717,Yes,ZBED1
ENSG00000002586,Yes,CD99
ENSG00000124343,Yes,XG
ENSG00000168939,Yes,SPRY3
ENSG00000124333,Yes,SYBL1
ENSG00000124334,Yes,IL9R
