Ensembl_gene_id Gene_name2 Omim_inheritance
ENSG00000187608 ISG15 AR
ENSG00000188157 AGRN AR
ENSG00000186827 TNFRSF4 AR
ENSG00000176022 B3GALT6 AR
ENSG00000107404 DVL1 AD
ENSG00000242485 MRPL20 Mi
ENSG00000197785 ATAD3A AD,AR
ENSG00000205090 TMEM240 AD
ENSG00000078369 GNB1 AD
ENSG00000187730 GABRD AD
ENSG00000157933 SKI AD
ENSG00000157911 PEX10 AR
ENSG00000142611 PRDM16 AD
ENSG00000235169 SMIM1 AR
ENSG00000116198 CEP104 AR
ENSG00000131697 NPHP4 AR
ENSG00000187017 ESPN AR
ENSG00000171680 PLEKHG5 AR
ENSG00000171735 CAMTA1 AD
ENSG00000049246 PER3 AD
ENSG00000116288 PARK7 AR
ENSG00000142599 RERE AD
ENSG00000049239 H6PD AR
ENSG00000171608 PIK3CD AD
ENSG00000173614 NMNAT1 AR
ENSG00000054523 KIF1B AD,IC
ENSG00000142655 PEX14 AR
ENSG00000120948 TARDBP AD
ENSG00000009724 MASP2 AR
ENSG00000198793 MTOR AD
ENSG00000120942 UBIAD1 AD
ENSG00000116670 MAD2L2 AR
ENSG00000177000 MTHFR AD,AR
ENSG00000175206 NPPA AD,AR
ENSG00000083444 PLOD1 AR
ENSG00000116688 MFN2 AD,AR
ENSG00000162438 CTRC AD
ENSG00000186510 CLCNKA DR
ENSG00000184908 CLCNKB AR,DR
ENSG00000142627 EPHA2 AD
ENSG00000159363 ATP13A2 AR
ENSG00000117118 SDHB AD,IC
ENSG00000142619 PADI3 AR
ENSG00000276747 None AR
ENSG00000009709 PAX7 AR
ENSG00000159423 ALDH4A1 AR
ENSG00000127463 EMC1 AR
ENSG00000173436 MINOS1 Mi
ENSG00000188257 PLA2G2A AD
ENSG00000127472 PLA2G5 AR
ENSG00000090432 MUL1 Mi
ENSG00000158828 PINK1 AR
ENSG00000244038 DDOST AR
ENSG00000117298 ECE1 AD,Mu
ENSG00000162551 ALPL AD,AR
ENSG00000142798 HSPG2 AR
ENSG00000162552 WNT4 AD,AR
ENSG00000173372 C1QA AR
ENSG00000159189 C1QC AR
ENSG00000173369 C1QB AR
ENSG00000004487 KDM1A AD
ENSG00000142676 RPL11 AD
ENSG00000117308 GALE AR
ENSG00000117305 HMGCL AR
ENSG00000179163 FUCA1 AR
ENSG00000158055 GRHL3 AD
ENSG00000162430 SEPN1 AD,AR
ENSG00000158014 SLC30A2 AD
ENSG00000117682 DHDDS AR
ENSG00000117713 ARID1A AD
ENSG00000060642 PIGV AR
ENSG00000131910 NR0B2 AD,Mu,AR
ENSG00000175707 C1orf172 AD
ENSG00000090020 SLC9A1 AR
ENSG00000142748 FCN3 AR
ENSG00000126705 AHDC1 AD
ENSG00000116353 MECR AR,Mi
ENSG00000162512 SDC3 AD,Mu,AR
ENSG00000160050 CCDC28B AR,DR
ENSG00000182866 LCK AR
ENSG00000134684 YARS AD
ENSG00000121905 HPCA AR
ENSG00000004455 AK2 AR
ENSG00000189433 GJB4 AD,AR
ENSG00000188910 GJB3 AD,AR,DD
ENSG00000171812 COL8A2 AD
ENSG00000116898 MRPS15 Mi
ENSG00000119535 CSF3R AR
ENSG00000163877 SNIP1 AR
ENSG00000169218 RSPO1 AR
ENSG00000168389 MFSD2A AR
ENSG00000131238 PPT1 AR
ENSG00000084073 ZMPSTE24 AR
ENSG00000049089 COL9A2 AD,AR
ENSG00000117013 KCNQ4 AD
ENSG00000171793 CTPS1 AR
ENSG00000164007 CLDN19 AR
ENSG00000117385 LEPRE1 AR
ENSG00000117394 SLC2A1 AD,AR
ENSG00000117400 MPL AD,Smu,AR
ENSG00000198198 SZT2 AR
ENSG00000142949 PTPRF AR
ENSG00000126091 ST3GAL3 AR
ENSG00000196517 SLC6A9 AR
ENSG00000117425 PTCH2 AD
ENSG00000070785 EIF2B3 AR
ENSG00000126088 UROD AD
ENSG00000132781 MUTYH Smu,AR
ENSG00000132763 MMACHC AR
ENSG00000085998 POMGNT1 AR
ENSG00000085999 RAD54L AD
ENSG00000123473 STIL AR
ENSG00000186790 FOXE3 AD,AR
ENSG00000085840 ORC1 AR
ENSG00000116171 SCP2 AR
ENSG00000157184 CPT2 AD,AR
ENSG00000116221 MRPL37 Mi
ENSG00000116133 DHCR24 AR
ENSG00000162399 BSND AR
ENSG00000157131 C8A AR
ENSG00000021852 C8B AR
ENSG00000184292 TACSTD2 AR
ENSG00000116641 DOCK7 AR
ENSG00000132855 ANGPTL3 AR
