"ensembl_gene_id","external_gene_name","description"
"ENSMUSG00000031536","Polb","polymerase (DNA directed), beta [Source:MGI Symbol;Acc:MGI:97740]"
"ENSMUSG00000027950","Chrnb2","cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal) [Source:MGI Symbol;Acc:MGI:87891]"
"ENSMUSG00000089164","Gm24131","predicted gene, 24131 [Source:MGI Symbol;Acc:MGI:5453908]"
"ENSMUSG00000036840","Siah1b","seven in absentia 1B [Source:MGI Symbol;Acc:MGI:108063]"
"ENSMUSG00000029413","Naaa","N-acylethanolamine acid amidase [Source:MGI Symbol;Acc:MGI:1914361]"
"ENSMUSG00000075144","Olfr1156","olfactory receptor 1156 [Source:MGI Symbol;Acc:MGI:3030990]"
"ENSMUSG00000104854","Mir7116","microRNA 7116 [Source:MGI Symbol;Acc:MGI:5562735]"
"ENSMUSG00000070044","Fam149a","family with sequence similarity 149, member A [Source:MGI Symbol;Acc:MGI:2387177]"
"ENSMUSG00000100180","Gm28140","predicted gene 28140 [Source:MGI Symbol;Acc:MGI:5578846]"
"ENSMUSG00000072473","1700024G13Rik","RIKEN cDNA 1700024G13 gene [Source:MGI Symbol;Acc:MGI:1914335]"
"ENSMUSG00000085022","Gm5860","predicted gene 5860 [Source:MGI Symbol;Acc:MGI:3646172]"
"ENSMUSG00000047674","Pdha2","pyruvate dehydrogenase E1 alpha 2 [Source:MGI Symbol;Acc:MGI:97533]"
"ENSMUSG00000093067","Gm23156","predicted gene, 23156 [Source:MGI Symbol;Acc:MGI:5452933]"
"ENSMUSG00000030319","Cand2","cullin-associated and neddylation-dissociated 2 (putative) [Source:MGI Symbol;Acc:MGI:1914338]"
"ENSMUSG00000086363","A330102I10Rik","RIKEN cDNA A330102I10 gene [Source:MGI Symbol;Acc:MGI:1925170]"
"ENSMUSG00000105428","Mir3068","microRNA 3068 [Source:MGI Symbol;Acc:MGI:4834241]"
"ENSMUSG00000061315","Naca","nascent polypeptide-associated complex alpha polypeptide [Source:MGI Symbol;Acc:MGI:106095]"
"ENSMUSG00000026394","Atp6v1g3","ATPase, H+ transporting, lysosomal V1 subunit G3 [Source:MGI Symbol;Acc:MGI:2450548]"
"ENSMUSG00000031927","1700012B09Rik","RIKEN cDNA 1700012B09 gene [Source:MGI Symbol;Acc:MGI:1916575]"
"ENSMUSG00000097930","C330002G04Rik","RIKEN cDNA C330002G04 gene [Source:MGI Symbol;Acc:MGI:1924860]"
"ENSMUSG00000029263","Pigg","phosphatidylinositol glycan anchor biosynthesis, class G [Source:MGI Symbol;Acc:MGI:3576484]"
