"Ensembl_gene_id","Gnomad_oe_lof_score","Gnomad_oe_mis_score","Exac_pli_score","Exac_prec_score","Exac_pnull_score"
"ENSG00000004059",0,0.35265,0.93988,0.059898,0.000224
"ENSG00000003056",0.35365,0.77907,0.028772,0.96143,0.0097972
"ENSG00000004478",0.22874,0.77734,0.34942,0.65048,0.0001049
"ENSG00000003137",0,0.85359,0.99438,0.0056191,6.4815e-07
"ENSG00000003509",1.1276,1.184,1.7131e-19,0.00083401,0.99917
"ENSG00000001036",0.58766,0.84104,3.7947e-07,0.94568,0.054324
"ENSG00000002587",0.51176,0.79812,0.0052521,0.89909,0.095661
"ENSG00000001617",0.10474,0.70539,0.99988,0.00011665,1.7367e-14
"ENSG00000001626",1.0901,1.3078,1.1203e-57,2.3232e-10,1
"ENSG00000001630",0.66611,0.86156,1.1157e-07,0.79414,0.20586
"ENSG00000048028",0.48201,0.85249,1.0115e-12,0.99999,1.0028e-05
"ENSG00000003989",0.70427,1.1854,2.4356e-11,0.66503,0.33497
"ENSG00000006074",0.86518,0.91123,0.0088681,0.59244,0.39869
"ENSG00000079387",0.12015,0.68013,0.99885,0.0011504,4.5865e-12
"ENSG00000004799",0.87028,0.92559,5.6394e-12,0.11278,0.88722
"ENSG00000006611",0.66356,1.095,4.8532e-17,0.8983,0.1017
"ENSG00000006451",0,0.26582,0.97494,0.02503,2.5372e-05
"ENSG00000006453",0.41661,0.89881,6.9886e-05,0.99908,0.00084814
"ENSG00000006116",0,0.47203,0.99062,0.00938,2.2704e-06
"ENSG00000006118",0.55159,0.90219,2.1036e-09,0.99272,0.007285
"ENSG00000004975",0.42494,0.95038,1.2159e-05,0.99956,0.00042822
"ENSG00000005175",0.39032,0.93698,3.6284e-05,0.99987,8.9171e-05
"ENSG00000007038",0.78219,1.1283,7.0661e-07,0.48142,0.51858
"ENSG00000005073",0,0.84062,0.94503,0.054796,0.00017892
"ENSG00000006210",0.088187,0.85812,0.88477,0.11499,0.00024205
"ENSG00000005243",1.0164,1.0146,6.1171e-08,0.14006,0.85994
"ENSG00000007255",1.3854,1.0124,2.8532e-08,0.048336,0.95166
"ENSG00000006282",0.49386,0.97049,1.7368e-09,0.9996,0.00039938
"ENSG00000007306",0.91579,1.1544,1.6066e-07,0.23577,0.76423
"ENSG00000005486",0.17179,0.88276,0.62262,0.37593,0.001453
"ENSG00000007520",0.59082,1.1142,0.0010915,0.84163,0.15728
"ENSG00000006025",0.30125,0.73134,0.0012731,0.99873,1.0878e-07
"ENSG00000006047",0,0.6848,0.99886,0.0011418,1.3278e-08
"ENSG00000005884",0.36405,0.72973,1.2304e-06,1,1.5966e-07
"ENSG00000006059",1.2319,1.1768,2.2351e-17,0.0010682,0.99893
