Ensembl_gene_id	Omim_gene_description
ENSG00000000419	Congenital disorder of glycosylation, type Ie, 608799 (3), Autosomal recessive
ENSG00000000971	Basal laminar drusen, 126700 (3), Autosomal dominant; Complement factor H deficiency, 609814 (3), Autosomal recessive, Autosomal dominant; {Hemolytic uremic syndrome, atypical, susceptibility to, 1}, 235400 (3), Autosomal recessive, Autosomal dominant; {Macular degeneration, age-related, 4}, 610698 (3)
ENSG00000001084	Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency, 230450 (3), Autosomal recessive; {Myocardial infarction, susceptibility to}, 608446 (3)
ENSG00000001497	Wilson-Turner syndrome, 309585 (3), X-linked recessive
ENSG00000001626	{Bronchiectasis with or without elevated sweat chloride 1, modifier of}, 211400 (3), Autosomal dominant; Congenital bilateral absence of vas deferens, 277180 (3), Autosomal recessive; Cystic fibrosis, 219700 (3), Autosomal recessive; {Hypertrypsinemia, neonatal} (3); {Pancreatitis, hereditary}, 167800 (3), Autosomal dominant; Sweat chloride elevation without CF (3)
ENSG00000001631	Cavernous malformations of CNS and retina, 116860 (3), Autosomal dominant; Cerebral cavernous malformations-1, 116860 (3), Autosomal dominant; Hyperkeratotic cutaneous capillary-venous malformations associated with cerebral capillary malformations, 116860 (3), Autosomal dominant
ENSG00000002822	Lymphoma, somatic (3); Prostate cancer, somatic, 176807 (3)
ENSG00000003137	Craniosynostosis with radiohumeral fusions and other skeletal and craniofacial anomalies, 614416 (3)
ENSG00000003393	Amyotrophic lateral sclerosis 2, juvenile, 205100 (3), Autosomal recessive; Primary lateral sclerosis, juvenile, 606353 (3), Autosomal recessive; Spastic paralysis, infantile onset ascending, 607225 (3), Autosomal recessive
ENSG00000003400	Autoimmune lymphoproliferative syndrome, type II, 603909 (3), Autosomal dominant; Gastric cancer, somatic, 613659 (3); Lymphoma, non-Hodgkin, somatic, 605027 (3)
ENSG00000004455	Reticular dysgenesis, 267500 (3), Autosomal recessive
ENSG00000004487	Cleft palate, psychomotor retardation, and distinctive facial features, 616728 (3), Autosomal dominant
ENSG00000004838	Ciliary dyskinesia, primary, 22, 615444 (3), Autosomal recessive
ENSG00000004848	Epileptic encephalopathy, early infantile, 1, 308350 (3), X-linked recessive; Hydranencephaly with abnormal genitalia, 300215 (3), X-linked; Lissencephaly, X-linked 2, 300215 (3), X-linked; Mental retardation, X-linked 29 and others, 300419 (3), X-linked recessive; Partington syndrome, 309510 (3), X-linked recessive; Proud syndrome, 300004 (3), X-linked
ENSG00000004864	Citrullinemia, adult-onset type II, 603471 (3), Autosomal recessive; Citrullinemia, type II, neonatal-onset, 605814 (3), Autosomal recessive
ENSG00000004939	[Blood group, Diego], 110500 (3); [Blood group, Froese], 601551 (3); [Blood group, Swann], 601550 (3); [Blood group, Waldner], 112010 (3); [Blood group, Wright], 112050 (3); Cryohydrocytosis, 185020 (3), Autosomal dominant; [Malaria, resistance to], 611162 (3); Ovalocytosis, SA type, 166900 (3), Autosomal dominant; Renal tubular acidosis, distal, AD, 179800 (3), Autosomal dominant; Renal tubular acidosis, distal, AR, 611590 (3), Autosomal recessive; Spherocytosis, type 4, 612653 (3), Autosomal dominant
ENSG00000004948	{Osteoporosis, postmenopausal, susceptibility}, 166710 (3), Autosomal dominant
ENSG00000004961	Linear skin defects with multiple congenital anomalies 1, 309801 (3), X-linked dominant
ENSG00000005073	Radioulnar synostosis with amegakaryocytic thrombocytopenia 1, 605432 (3), Autosomal dominant
ENSG00000005102	Klippel-Feil syndrome 2, 214300 (3), Autosomal recessive
ENSG00000005339	Rubinstein-Taybi syndrome 1, 180849 (3), Autosomal dominant
ENSG00000005381	{Alzheimer disease, susceptibility to}, 104300 (3), Autosomal dominant; {Lung cancer, protection against, in smokers} (3); Myeloperoxidase deficiency, 254600 (3), Autosomal recessive
ENSG00000005421	{Coronary artery disease, susceptibility to} (3); {Coronary artery spasm 2, susceptibility to (3); {Microvascular complications of diabetes 5}, 612633 (3); {Organophosphate poisoning, sensitivity to} (3)
ENSG00000005471	Cholestasis, intrahepatic, of pregnancy, 3, 614972 (3), Autosomal recessive, Autosomal dominant; Cholestasis, progressive familial intrahepatic 3, 602347 (3), Autosomal recessive; Gallbladder disease 1, 600803 (3), Autosomal recessive, Autosomal dominant
ENSG00000005884	Interstitial lung disease, nephrotic syndrome, and epidermolysis bullosa, congenital, 614748 (3), Autosomal recessive
ENSG00000005893	Danon disease, 300257 (3), X-linked dominant
ENSG00000005961	Bleeding disorder, platelet-type, 16, autosomal dominant, 187800 (3), Autosomal dominant; Glanzmann thrombasthenia, 273800 (3), Autosomal recessive; Thrombocytopenia, neonatal alloimmune, BAK antigen related (3)
ENSG00000006016	Cold-induced sweating syndrome 1, 272430 (3), Autosomal recessive
ENSG00000006042	Nanophthalmos 4, 615972 (3), Autosomal dominant
