"ENSG00000261530","XM_005263190","BTC"
"ENSG00000261577","XM_005277014","JUP"
"ENSG00000261577","XM_005257313","JUP"
"ENSG00000261577","XM_005277022","JUP"
"ENSG00000261577","XM_005277021","JUP"
"ENSG00000261577","XM_005277020","JUP"
"ENSG00000261577","XM_005277019","JUP"
"ENSG00000261577","XM_005277018","JUP"
"ENSG00000261577","XM_005277017","JUP"
"ENSG00000261577","XM_005277016","JUP"
"ENSG00000261577","XM_005277015","JUP"
"ENSG00000261577","XM_005257321","JUP"
"ENSG00000261577","XM_005257320","JUP"
"ENSG00000261577","XM_005257319","JUP"
"ENSG00000261577","XM_005257318","JUP"
"ENSG00000261577","XM_005257317","JUP"
"ENSG00000261577","XM_005257316","JUP"
"ENSG00000261577","XM_005257315","JUP"
"ENSG00000261577","XM_005257314","JUP"
"ENSG00000261258","XM_005277028","FKBP10"
"ENSG00000261258","XM_005257563","FKBP10"
"ENSG00000261631","XM_005277013","KLHL10"
"ENSG00000261631","XM_005277012","KLHL10"
"ENSG00000261631","XM_005257274","KLHL10"
"ENSG00000261631","XM_005257273","KLHL10"
"ENSG00000233917","XM_005274801","POTEB"
"ENSG00000233917","XM_005260963","POTEB"
"ENSG00000260245","XM_005277023","ACLY"
"ENSG00000260245","XM_005257393","ACLY"
"ENSG00000260283","XM_005277006","CNP"
"ENSG00000260283","XM_005277005","CNP"
"ENSG00000260283","XM_005257056","CNP"
"ENSG00000260283","XM_005257055","CNP"
"ENSG00000188992","XM_005260921","LIPI"
"ENSG00000188992","XM_005260920","LIPI"
"ENSG00000168675","XM_005258140","LDLRAD4"
"ENSG00000260770","XM_005277010","NKIRAS2"
"ENSG00000260770","XM_005257251","NKIRAS2"
"ENSG00000185272","XM_005260998","RBM11"
"ENSG00000185272","XM_005260996","RBM11"
"ENSG00000155304","XM_005261036","HSPA13"
"ENSG00000197414","XM_003960555","GOLGA6L1"
"ENSG00000197414","XM_003118472","GOLGA6L1"
"ENSG00000197414","XM_001724153","GOLGA6L1"
"ENSG00000155307","XM_005261022","SAMSN1"
"ENSG00000259958","XM_005277009","KAT2A"
"ENSG00000259958","XM_005257217","KAT2A"
"ENSG00000180530","XM_005261066","NRIP1"
"ENSG00000180530","XM_005261065","NRIP1"
"ENSG00000180530","XM_005261064","NRIP1"
"ENSG00000180530","XM_005261063","NRIP1"
"ENSG00000180530","XM_005261062","NRIP1"
"ENSG00000261371","XM_005276880","PECAM1"
"ENSG00000261371","XM_005276879","PECAM1"
"ENSG00000153575","XM_005272540","TUBGCP5"
"ENSG00000137824","XM_005254532","RMDN3"
"ENSG00000137824","XM_005254531","RMDN3"
"ENSG00000263304","XM_005276878","MILR1"
"ENSG00000263304","XM_005276876","MILR1"
"ENSG00000263304","XM_005276872","MILR1"
"ENSG00000263304","XM_005276877","MILR1"
"ENSG00000177150","XM_005258082","FAM210A"
"ENSG00000263077","XM_005276871","DDX5"
"ENSG00000263077","XM_005276870","DDX5"
"ENSG00000263077","XM_005257112","DDX5"
"ENSG00000155313","XM_005260948","USP25"
"ENSG00000155313","XM_005260949","USP25"
"ENSG00000155313","XM_005260946","USP25"
"ENSG00000101638","XM_005258252","ST8SIA5"
"ENSG00000263046","XM_005276888","CEP95"
"ENSG00000263046","XM_005257781","CEP95"
"ENSG00000078043","XM_005258386","PIAS2"
"ENSG00000078043","XM_005258384","PIAS2"
"ENSG00000078043","XM_005258383","PIAS2"
"ENSG00000078043","XM_005258382","PIAS2"
"ENSG00000078043","XM_005258381","PIAS2"
"ENSG00000078043","XM_005258380","PIAS2"
"ENSG00000078043","XM_005258379","PIAS2"
"ENSG00000078043","XM_005258378","PIAS2"
"ENSG00000078043","XM_005258377","PIAS2"
"ENSG00000101654","XM_005258163","RNMT"
"ENSG00000101654","XM_005258162","RNMT"
"ENSG00000101654","XM_005258161","RNMT"
"ENSG00000101654","XM_005258160","RNMT"
"ENSG00000078043","XM_005258385","PIAS2"
"ENSG00000158901","XM_005260607","WFDC8"
"ENSG00000140416","XM_005254642","TPM1"
"ENSG00000140416","XM_005254637","TPM1"
"ENSG00000140577","XM_005254968","CRTC3"
"ENSG00000140416","XM_005254653","TPM1"
"ENSG00000140416","XM_005254652","TPM1"
"ENSG00000140416","XM_005254649","TPM1"
"ENSG00000260623","XM_005276754","VPRBP"
"ENSG00000140416","XM_005254646","TPM1"
"ENSG00000140416","XM_005254650","TPM1"
"ENSG00000140416","XM_005254651","TPM1"
"ENSG00000068793","XM_005272543","CYFIP1"
"ENSG00000167216","XM_005258361","KATNAL2"
"ENSG00000167216","XM_005258360","KATNAL2"
"ENSG00000167216","XM_005258359","KATNAL2"
"ENSG00000167216","XM_005258358","KATNAL2"
"ENSG00000167216","XM_005258357","KATNAL2"
"ENSG00000166143","XM_005254499","PPP1R14D"
"ENSG00000154654","XM_005260988","NCAM2"
"ENSG00000154654","XM_005260987","NCAM2"
"ENSG00000101365","XM_005260716","IDH3B"
"ENSG00000154654","XM_005260989","NCAM2"
"ENSG00000166262","XM_005254221","FAM227B"
"ENSG00000022277","XM_005260423","RTFDC1"
"ENSG00000022277","XM_005260422","RTFDC1"
