"ENSG00000215405","NM_001145004","GOLGA6L6"
"ENSG00000230031","NM_001277303","POTEB2"
"ENSG00000138593","NM_001193489","SECISBP2L"
"ENSG00000138593","NM_014701","SECISBP2L"
"ENSG00000233917","NM_001277304","POTEB"
"ENSG00000233917","NM_207355","POTEB"
"ENSG00000166157","NM_199259","TPTE"
"ENSG00000166157","NM_199261","TPTE"
"ENSG00000166157","NM_199260","TPTE"
"ENSG00000260703","NM_031421","TTC25"
"ENSG00000166351","NM_174981","POTED"
"ENSG00000168675","NM_181482","LDLRAD4"
"ENSG00000168675","NM_181481","LDLRAD4"
"ENSG00000188992","NM_198996","LIPI"
"ENSG00000168675","NM_001003674","LDLRAD4"
"ENSG00000168675","NM_001276249","LDLRAD4"
"ENSG00000168675","NM_001003675","LDLRAD4"
"ENSG00000168675","NM_001276251","LDLRAD4"
"ENSG00000182974","NM_001004719","OR4M2"
"ENSG00000260770","NM_001001349","NKIRAS2"
"ENSG00000183706","NM_001005241","OR4N4"
"ENSG00000185272","NM_144770","RBM11"
"ENSG00000155304","NM_006948","HSPA13"
"ENSG00000197414","NM_001001413","GOLGA6L1"
"ENSG00000197414","NM_001271664","GOLGA6L1"
"ENSG00000155307","NM_022136","SAMSN1"
"ENSG00000155307","NM_001286523","SAMSN1"
"ENSG00000155307","NM_001256370","SAMSN1"
"ENSG00000243440","NM_001256579","AF165138.7"
"ENSG00000166200","NM_001143887","COPS2"
"ENSG00000166200","NM_004236","COPS2"
"ENSG00000180530","NM_003489","NRIP1"
"ENSG00000261371","NM_000442","PECAM1"
"ENSG00000153575","NM_052903","TUBGCP5"
"ENSG00000153575","NM_001102610","TUBGCP5"
"ENSG00000137824","NM_018145","RMDN3"
"ENSG00000137880","NM_005258","GCHFR"
"ENSG00000177150","NM_001098801","FAM210A"
"ENSG00000104129","NM_018163","DNAJC17"
"ENSG00000177150","NM_152352","FAM210A"
"ENSG00000155313","NM_013396","USP25"
"ENSG00000155313","NM_001283042","USP25"
"ENSG00000155313","NM_001283041","USP25"
"ENSG00000101638","NM_013305","ST8SIA5"
"ENSG00000154639","NM_001338","CXADR"
"ENSG00000154639","NM_001207063","CXADR"
"ENSG00000154639","NM_001207065","CXADR"
"ENSG00000154639","NM_001207064","CXADR"
"ENSG00000154639","NM_001207066","CXADR"
"ENSG00000078043","NM_004671","PIAS2"
"ENSG00000260220","NM_203348","WI2-2610K16.1"
"ENSG00000101654","NM_003799","RNMT"
"ENSG00000078043","NM_173206","PIAS2"
"ENSG00000154640","NM_001130914","BTG3"
"ENSG00000188277","NM_001130448","C15orf62"
"ENSG00000154640","NM_006806","BTG3"
"ENSG00000156958","NM_001001556","GALK2"
"ENSG00000249139","NM_001198986","EPPIN-WFDC6"
"ENSG00000156958","NM_002044","GALK2"
"ENSG00000158901","NM_181510","WFDC8"
"ENSG00000158901","NM_130896","WFDC8"
"ENSG00000180205","NM_147198","WFDC9"
"ENSG00000154642","NM_001100420","C21orf91"
"ENSG00000154642","NM_017447","C21orf91"
"ENSG00000260383","NM_001288814","MROH1"
"ENSG00000154642","NM_001100421","C21orf91"
"ENSG00000140416","NM_000366","TPM1"
"ENSG00000140416","NM_001018006","TPM1"
"ENSG00000140416","NM_001018005","TPM1"
"ENSG00000140416","NM_001018004","TPM1"
"ENSG00000140416","NM_001018020","TPM1"
"ENSG00000140416","NM_001018007","TPM1"
"ENSG00000140577","NM_022769","CRTC3"
"ENSG00000140577","NM_001042574","CRTC3"
"ENSG00000140416","NM_001018008","TPM1"
"ENSG00000166140","NM_001258421","ZFYVE19"
"ENSG00000260623","NM_014703","VPRBP"
"ENSG00000154645","NM_001204177","CHODL"
"ENSG00000260623","NM_001171904","VPRBP"
"ENSG00000154645","NM_001204178","CHODL"
"ENSG00000166140","NM_001077268","ZFYVE19"
"ENSG00000154645","NM_001204176","CHODL"
"ENSG00000166140","NM_032850","ZFYVE19"
"ENSG00000166140","NM_001258420","ZFYVE19"
"ENSG00000101138","NM_001324","CSTF1"
"ENSG00000101138","NM_001033521","CSTF1"
"ENSG00000154645","NM_001204175","CHODL"
"ENSG00000154645","NM_024944","CHODL"
"ENSG00000154645","NM_001204174","CHODL"
"ENSG00000101138","NM_001033522","CSTF1"
"ENSG00000180305","NM_080753","WFDC10A"
"ENSG00000180083","NM_147197","WFDC11"
"ENSG00000182931","NM_172006","WFDC10B"
"ENSG00000182931","NM_172131","WFDC10B"
"ENSG00000168634","NM_172005","WFDC13"
"ENSG00000149651","NM_178455","SPINT4"
"ENSG00000154646","NM_002772","TMPRSS15"
"ENSG00000068793","NM_014608","CYFIP1"
"ENSG00000068793","NM_001287810","CYFIP1"
"ENSG00000068793","NM_001033028","CYFIP1"
"ENSG00000124116","NM_080614","WFDC3"
"ENSG00000087589","NM_001164116","CASS4"
"ENSG00000087589","NM_001164115","CASS4"
"ENSG00000087589","NM_001164114","CASS4"
"ENSG00000087589","NM_020356","CASS4"
"ENSG00000167216","NM_031303","KATNAL2"
"ENSG00000166143","NM_017726","PPP1R14D"
"ENSG00000166143","NM_001130143","PPP1R14D"
"ENSG00000101365","NM_001258384","IDH3B"
"ENSG00000101365","NM_174855","IDH3B"
"ENSG00000154654","NM_004540","NCAM2"
"ENSG00000101365","NM_006899","IDH3B"
"ENSG00000176136","NM_005913","MC5R"
"ENSG00000166262","NM_152647","FAM227B"
