ensembl_gene_id,external_gene_name,"gene_description"
ENSG00000261657,SLC25A26,"solute carrier family 25 (S-adenosylmethionine carrier), member 26 "
ENSG00000223116,AL157931.1,""
ENSG00000233440,HMGA1P6,"high mobility group AT-hook 1 pseudogene 6 "
ENSG00000207157,RNY3P4,"RNA, Ro-associated Y3 pseudogene 4 "
ENSG00000229483,LINC00362,"long intergenic non-protein coding RNA 362 "
ENSG00000252952,RNU6-58P,"RNA, U6 small nuclear 58, pseudogene "
ENSG00000235205,TATDN2P3,"TatD DNase domain containing 2 pseudogene 3 "
ENSG00000232849,LINC00363,"long intergenic non-protein coding RNA 363 "
ENSG00000236803,SDAD1P4,"SDA1 domain containing 1 pseudogene 4 "
ENSG00000232163,RPLP1P13,"ribosomal protein, large, P1 pseudogene 13 "
ENSG00000252365,SNORD22,"Small nucleolar RNA SNORD22 "
ENSG00000229558,SACS-AS1,"SACS antisense RNA 1 "
ENSG00000235784,HNRNPA1P29,"heterogeneous nuclear ribonucleoprotein A1 pseudogene 29 "
ENSG00000224394,GPC6-AS2,"GPC6 antisense RNA 2 "
ENSG00000212559,RNA5SP35,"RNA, 5S ribosomal pseudogene 35 "
ENSG00000232977,LINC00327,"long intergenic non-protein coding RNA 327 "
ENSG00000236520,GPC6-AS1,"GPC6 antisense RNA 1 "
ENSG00000227893,LINC00352,"long intergenic non-protein coding RNA 352 "
ENSG00000212057,AL139318.1,""
ENSG00000222129,RNA5SP36,"RNA, 5S ribosomal pseudogene 36 "
ENSG00000232102,MTCO3P2,"MT-CO3 pseudogene 2 "
ENSG00000242037,RN7SL585P,"RNA, 7SL, cytoplasmic 585, pseudogene "
ENSG00000238230,LINC00391,"long intergenic non-protein coding RNA 391 "
ENSG00000227640,SOX21-AS1,"SOX21 antisense RNA 1 (head to head) "
ENSG00000205861,C1QTNF9B-AS1,"C1QTNF9B antisense RNA 1 "
ENSG00000235768,BRD7P5,"bromodomain containing 7 pseudogene 5 "
ENSG00000237924,RPL21P112,"ribosomal protein L21 pseudogene 112 "
ENSG00000260962,LINC00557,"long intergenic non-protein coding RNA 557 "
ENSG00000252335,RNU6-62P,"RNA, U6 small nuclear 62, pseudogene "
ENSG00000238463,snoU13,"Small nucleolar RNA U13 "
ENSG00000223298,RNY3P8,"RNA, Ro-associated Y3 pseudogene 8 "
ENSG00000196593,ANKRD20A19P,"ankyrin repeat domain 20 family, member A19, pseudogene "
ENSG00000200211,RNY4P27,"RNA, Ro-associated Y4 pseudogene 27 "
ENSG00000271492,MEMO1P5,"mediator of cell motility 1 pseudogene 5 "
ENSG00000223392,CLDN10-AS1,"CLDN10 antisense RNA 1 "
ENSG00000228741,RP11-309I15.1,""
ENSG00000247400,DNAJC3-AS1,"DNAJC3 antisense RNA 1 (head to head) "
ENSG00000225674,IPO7P2,"importin 7 pseudogene 2 "
ENSG00000229622,MTND5P2,"MT-ND5 pseudogene 2 "
ENSG00000252695,MIR2276,"microRNA 2276 "
ENSG00000227213,SPATA13-AS1,"SPATA13 antisense RNA 1 "
ENSG00000227714,MTND6P18,"MT-ND6 pseudogene 18 "
ENSG00000240868,C1QTNF9-AS1,"C1QTNF9 antisense RNA 1 "
ENSG00000232373,MTCYBP3,"MT-CYB pseudogene 3 "
ENSG00000234627,NUS1P3,"nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae) pseudogene 3 "
ENSG00000251901,snR65,"Small nucleolar RNA snR65 "
ENSG00000261498,LINC00566,"long intergenic non-protein coding RNA 566 "
ENSG00000226977,HMGN1P24,"high mobility group nucleosome binding domain 1 pseudogene 24 "
ENSG00000233545,CYCSP33,"cytochrome c, somatic pseudogene 33 "
ENSG00000242614,RN7SL164P,"RNA, 7SL, cytoplasmic 164, pseudogene "
